Species,First Cp1000,Second Cp1000,Tabulated Cp1000,Difference
C2H2,67.64233391973667,67.73651108905476,67.73730041554508,0.09417716931808684
C2H4,94.2333647385047,94.46849586502978,94.6901679318943,0.23513112652507573
C2H6,124.88755598741457,124.92434339758954,124.91832372042118,0.03678741017496634
C2N2,76.3353678543615,76.33217743592746,76.34602047213811,0.003190418434030562
C4H2,111.33837322881686,111.37258325025707,111.40428329024613,0.034210021440202354
CF4,98.84966375342137,98.86053080906322,98.86111315930724,0.010867055641853085
CH3Br,79.63504573360221,79.65457756011075,79.64650766584889,0.019531826508540462
CH3CN,98.45934937821298,98.46457737611541,98.461283806143,0.005227997902437664
CH3Cl,79.0063503722869,79.03237260170069,79.02451964330625,0.026022229413783293
CH3F,77.59129887232153,77.60697434117303,77.60203451356365,0.015675468851497953
CH3I,80.21131343060159,80.23073313227745,80.22268141099454,0.019419701675857937
CH3OH,93.71188449548497,93.72661263952416,93.72121119033281,0.014728144039196422
CH4,72.70255690851127,72.98848202311174,72.70455023823833,0.28592511460047376
CO,33.18256960090456,33.17863682413586,33.183877323676626,0.003932776768699853
CO2,54.32518346027785,54.33528872678373,54.33398543223534,0.010105266505881616
COCl2,77.70419764229165,77.69689135037154,77.69945834341767,0.007306291920102126
COF2,74.72426826424221,74.73377059417395,74.73435860967192,0.009502329931734721
CS,35.549447191377354,35.55130898277556,35.552039387438725,0.0018617913982055256
CS2,58.4029512802197,58.39293751815994,58.39341863980535,0.010013762059763565
ClONO2,100.12571232752602,99.91819741280463,99.92518351792178,0.2075149147213864
GeH4,56.15997516454608,56.154630568525505,56.15860571732247,0.0053445960205777965
H2,29.952291533752565,29.96543249875611,29.951943511604405,0.01314096500354367
H2CO,62.11007419393276,62.13259971533863,62.12785990938333,0.02252552140586772
H2O,41.26565512214275,41.27098396362269,41.26376628096216,0.005328841479936841
H2O2,54.47631571989044,54.028654821656175,54.4899256769925,0.44766089823426114
H2S,45.9727245875071,45.97452410095578,45.974430157502766,0.0017995134486810116
HBr,32.329191303898256,32.33872136763988,32.329753768696264,0.009530063741621575
HC3N,93.82267528214066,93.81354859106365,93.81078860497904,0.00912669107701447
HCN,50.13808143923679,50.35303504442089,50.35367715907854,0.21495360518409967
HCOOH,83.78360001181994,83.79923482476227,83.79202013420701,0.015634812942323606
HCl,31.63136168689662,31.640031768298094,31.6344463569162,0.008670081401472629
HF,30.16572376617128,30.1928102735234,30.16739931839016,0.027086507352120037
HI,33.159105273030036,33.15537698743101,33.15519721964936,0.0037282855990241615
HNO3,90.74028368670614,90.75621720345833,90.7545472982633,0.015933516752198784
HO2,47.51415571761837,47.52106341466889,47.52099959936503,0.0069076970505150825
HOBr,49.231833990748726,49.2459968872974,49.2371118009791,0.014162896548675974
HOCl,49.44563919302268,49.45255849160953,49.449275100244634,0.006919298586851141
N2,32.697607671280835,32.69907294282899,32.698926277765665,0.0014652715481560108
N2O,55.20496309691879,55.20329034888346,55.20331973749154,0.0016727480353253554
NF3,78.43543899390227,78.45526340909637,78.45675995219491,0.01982441519410827
NH3,56.02264235035246,56.031544842585554,56.031317740179546,0.008902492233090697
NO,33.898689527852476,33.889193767053655,33.89116248715688,0.00949576079882064
NO+,32.611568909633604,32.60929479374673,32.610392482184444,0.0022741158868768707
OCS,56.67815219671461,56.675352750588964,56.67787827091962,0.0027994461256497516
OH,30.672200401827414,30.675805100840062,30.658515497794546,0.0036046990126479272
PH3,65.43751856519897,65.4229135161301,65.42121887217186,0.014605049068876497
SF6,149.26069857987542,149.31452948663838,149.39033556484185,0.0538309067629541
SO,35.828288383405976,35.83295140104549,35.832959972964446,0.004663017639515488
SO2,54.10178220510398,54.09922817585527,54.101504366710216,0.002554029248706513
SO3,75.49347117693488,75.4742027833528,75.47408701387603,0.01926839358208099
